id,_Personne__id_personne,_Personne__sex,_Personne__nom,_Personne__prenom,_Personne__date_naissance,_Personne__nationalite,_Personne__pays,_Personne__taille,_Personne__poids,_Personne__statut,_Personne__id_csv,_Competiteur__surnom,_Competiteur__sport_pratique,_Competiteur__numero_maillot,_Competiteur__poste_principal,_Competiteur__nombre_medailles
3253,3253,,Alexandre Martins da Costa Alex,Domingos,1979-09-06,,,175.0,73.9,{},38607.0,,3,,,0
3254,3254,,Foley,Dominic,1976-07-07,,,185.0,79.8,{},38251.0,,3,,,0
3255,3255,,Maroh,Dominic,1987-03-04,,,185.0,84.8,{},36934.0,,3,,,0
3256,3256,,Solanke,Dominic,1997-09-14,,,185.0,74.8,{},591734.0,,3,,,0
3257,3257,,Thomas,Dominic,1996-02-14,,,170.0,64.9,{},470026.0,,3,,,0
3258,3258,,Furman,Dominik,1992-07-06,,,180.0,72.1,{},206795.0,,3,,,0
3259,3259,,Kaiser,Dominik,1988-09-16,,,170.0,67.1,{},213061.0,,3,,,0
3260,3260,,Kohr,Dominik,1994-01-31,,,183.0,74.8,{},303905.0,,3,,,0
3261,3261,,Kumbela,Dominik,1984-04-02,,,173.0,71.2,{},29255.0,,3,,,0
3262,3262,,Kun,Dominik,1993-06-22,,,173.0,63.0,{},357348.0,,3,,,0
3263,3263,,Masek,Dominik,1995-07-01,,,173.0,64.9,{},266841.0,,3,,,0
3264,3264,,Reinhardt,Dominik,1984-12-19,,,188.0,81.2,{},27437.0,,3,,,0
3265,3265,,Sadzawicki,Dominik,1994-04-19,,,185.0,78.0,{},433662.0,,3,,,0
3266,3266,,Schmidt,Dominik,1987-07-01,,,188.0,78.0,{},35818.0,,3,,,0
3267,3267,,Stroh-Engel,Dominik,1985-11-27,,,196.0,91.2,{},27485.0,,3,,,0
3268,3268,,Heintz,Dominique,1993-08-15,,,188.0,87.1,{},303800.0,,3,,,0
3269,3269,,Kivuvu,Dominique,1987-09-16,,,188.0,87.1,{},45470.0,,3,,,0
3270,3270,,Malonga,Dominique,1989-01-08,,,185.0,79.8,{},96598.0,,3,,,0
3271,3271,,van Dijk,Dominique,1979-09-05,,,183.0,74.8,{},26568.0,,3,,,0
3272,3272,,Cowie,Don,1983-02-15,,,178.0,73.0,{},32942.0,,3,,,0
3273,3273,,Dering Djousse,Donald,1990-03-18,,,183.0,81.2,{},169709.0,,3,,,0
3274,3274,,Daniels,Donervon,1993-11-24,,,185.0,91.2,{},410017.0,,3,,,0
3275,3275,,Ji,Dong-Won,1991-05-28,,,188.0,77.1,{},242308.0,,3,,,0
3276,3276,,,Doni,1979-10-22,,,193.0,91.2,{},39351.0,,3,,,0
3277,3277,,Gorter,Donny,1988-06-15,,,175.0,69.9,{},110159.0,,3,,,0
3278,3278,,van de Beek,Donny,1997-04-18,,,185.0,76.2,{},612836.0,,3,,,0
3279,3279,,Deekman,Donovan,1988-06-23,,,183.0,64.9,{},110140.0,,3,,,0
3280,3280,,Leon,Donovan,1992-11-03,,,185.0,88.0,{},279866.0,,3,,,0
3281,3281,,Simmonds,Donovan,1988-10-12,,,175.0,69.9,{},80298.0,,3,,,0
3282,3282,,Slijngard,Donovan,1987-08-28,,,175.0,67.1,{},128802.0,,3,,,0
3283,3283,,Malul,Dor,1989-04-03,,,175.0,72.1,{},174363.0,,3,,,0
3284,3284,,Cotra,Dorde,1984-09-13,,,183.0,81.2,{},163618.0,,3,,,0
3285,3285,,Kouemaha,Dorge,1983-06-28,,,183.0,89.8,{},75405.0,,3,,,0
